condition,scan_id,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,beam_amplitude,edm_response,beam_dB,edm_response_dB
A_PA1_to_C1,45,-82.37809315670718,176.22090963117816,-73.42416124999998,-68.87047266038448,158.59095760479434,-51.8,0.6464071564693132,0.6464071564693132,-2.9630256330057154,-2.9630256330057154
A_PA1_to_C1,46,-80.84389597382534,176.61589812609037,-73.14719076999998,-67.48690089552612,159.1859027049353,-51.8,0.6542611473536271,0.6542611473536271,-2.858126133258777,-2.858126133258777
A_PA1_to_C1,47,-79.30988116704236,177.0045416762596,-72.86560265999998,-66.09602538619683,159.76365099342593,-51.8,0.6621739452899403,0.6621739452899403,-2.7537069822851907,-2.7537069822851907
A_PA1_to_C1,48,-77.76961412683336,177.38697086622912,-72.59007124,-64.7025353128103,160.33498587487588,-51.8,0.6702156872782518,0.6702156872782518,-2.64885697462132,-2.64885697462132
A_PA1_to_C1,49,-76.23332909894982,177.76107722107247,-72.31877421999998,-63.3035440285758,160.89279168331342,-51.8,0.6782213671820089,0.6782213671820089,-2.5457193918664194,-2.5457193918664194
A_PA1_to_C1,50,-74.69426407127305,178.1270569580981,-72.06232435999999,-61.89954627987828,161.43774762125824,-51.8,0.6860938904282816,0.6860938904282816,-2.4454777114183757,-2.4454777114183757
A_PA1_to_C1,51,-73.15543888877625,178.48664469416738,-71.80118966999999,-60.49110557088349,161.97124788981688,-51.8,0.6941108587390501,0.6941108587390501,-2.3445719796103157,-2.3445719796103157
A_PA1_to_C1,52,-71.62397138824623,178.8361781765444,-71.55317105,-59.07841652503139,162.49330308180677,-51.8,0.7019476812198177,0.7019476812198177,-2.247053876685758,-2.247053876685758
A_PA1_to_C1,53,-70.08240641964987,179.18127021616235,-71.30209812999999,-57.66068402001455,163.00157462923724,-51.8,0.7099350364311612,0.7099350364311612,-2.1487765550114286,-2.1487765550114286
A_PA1_to_C1,54,-68.53755751557946,179.51825086947133,-71.06566992,-56.23846720438927,163.49714668118867,-51.8,0.7177649427763234,0.7177649427763234,-2.0535038993509205,-2.0535038993509205
A_PA1_to_C1,55,-66.99300425214086,179.8487877154106,-70.82448234,-54.81155196257941,163.97903105734272,-51.8,0.7256887189600485,0.7256887189600485,-1.9581413136119752,-1.9581413136119752
A_PA1_to_C1,56,-65.45537757060218,180.16943092711168,-70.59634426999999,-53.38194375175403,164.4528907888934,-51.8,0.7334588648577233,0.7334588648577233,-1.8656335118767875,-1.8656335118767875
A_PA1_to_C1,57,-63.92128714133149,180.4819945769765,-70.37237624,-51.94808061133158,164.91370825425238,-51.8,0.7411470148357502,0.7411470148357502,-1.7750614773678155,-1.7750614773678155
A_PA1_to_C1,58,-62.38019017079899,180.78823280173663,-70.15401181,-50.50956093843202,165.3597597219461,-51.8,0.748780242613346,0.748780242613346,-1.686061220723536,-1.686061220723536
A_PA1_to_C1,59,-60.83199454423304,181.08807646051008,-69.94115893,-49.06551810654116,165.78762426472855,-51.8,0.7562906045118056,0.7562906045118056,-1.5993746488868892,-1.5993746488868892
A_PA1_to_C1,60,-59.297708438570325,181.3782071730517,-69.7310321,-47.62033335174925,166.2115357972854,-51.8,0.7638005548186739,0.7638005548186739,-1.513549361528822,-1.513549361528822
A_PA1_to_C1,61,-57.75621645856094,181.6619612177616,-69.52637385,-46.17036567435123,166.6188684145195,-51.8,0.7712019139952366,0.7712019139952366,-1.4297867767788852,-1.4297867767788852
A_PA1_to_C1,62,-56.207426276807446,181.93926589183457,-69.3270903,-44.71803528894126,167.01757889410376,-51.8,0.7786603244731538,0.7786603244731538,-1.3461878235652067,-1.3461878235652067
A_PA1_to_C1,63,-54.66462485432847,182.20700127577703,-69.14074799,-43.26104419633069,167.3989959788855,-51.8,0.7857126495478652,0.7857126495478652,-1.267873849498848,-1.267873849498848
