condition,scan_id,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,beam_amplitude,edm_response,beam_dB,edm_response_dB
B_PA2_to_C2,42,-58.5051388002602,149.2416825545593,-94.80556977,-74.58,189.13,-51.8,0.32959416010428605,0.32959416010428605,-0.4364369211244237,-0.4364369211244237
B_PA2_to_C2,43,-57.474820273398045,149.6257091301033,-94.81875198999998,-73.31999999999998,189.62,-51.8,0.3294932159383319,0.3294932159383319,-0.43909753919665695,-0.43909753919665695
B_PA2_to_C2,44,-56.44677002416326,150.00185390579003,-94.83062015,-72.06,190.1,-51.8,0.32940241496947326,0.32940241496947326,-0.44149150620002514,-0.44149150620002514
B_PA2_to_C2,45,-55.41050915712752,150.37329735342556,-94.84773718,-70.79,190.58,-51.8,0.3292714893562428,0.3292714893562428,-0.44494452121951905,-0.44494452121951905
B_PA2_to_C2,46,-54.38014683603681,150.73647558124253,-94.85333012,-69.52,191.04,-51.8,0.32922873289813015,0.32922873289813015,-0.4460724718699578,-0.4460724718699578
B_PA2_to_C2,47,-53.34834076633671,151.09213428069904,-94.86802828,-68.25,191.5,-51.8,0.32911648003302507,0.32911648003302507,-0.4490344923666722,-0.4490344923666722
B_PA2_to_C2,48,-52.31875257280349,151.43996288809893,-94.88149583,-66.98,191.95,-51.8,0.32901363430673064,0.32901363430673064,-0.4517491732972295,-0.4517491732972295
B_PA2_to_C2,49,-51.28446896481872,151.78259888883483,-94.89023741,-65.7,192.39,-51.8,0.3289469061067195,0.3289469061067195,-0.45351096218100206,-0.45351096218100206
B_PA2_to_C2,50,-50.25229569012038,152.1174270694923,-94.89783392,-64.42,192.82,-51.8,0.3288889970538416,0.3288889970538416,-0.4550401935325433,-0.4550401935325433
B_PA2_to_C2,51,-49.21883046403274,152.44460810982224,-94.9147187,-63.14,193.25,-51.8,0.32876025186576685,0.32876025186576685,-0.45844099270070765,-0.45844099270070765
B_PA2_to_C2,52,-48.183877235460685,152.76638581674803,-94.91670897,-61.85,193.66,-51.8,0.3287450645097787,0.3287450645097787,-0.4588422539369147,-0.4588422539369147
B_PA2_to_C2,53,-47.14762972445819,153.08044808439766,-94.92812357,-60.56,194.07,-51.8,0.3286581455418582,0.3286581455418582,-0.4611390743833863,-0.4611390743833863
B_PA2_to_C2,54,-46.113434887340645,153.38674228204445,-94.93848943,-59.27,194.47,-51.8,0.3285792117606179,0.3285792117606179,-0.46322541384126054,-0.46322541384126054
B_PA2_to_C2,55,-45.08126271044291,153.68532163881264,-94.94778745,-57.98,194.86,-51.8,0.3285084282085897,0.3285084282085897,-0.465096756676179,-0.465096756676179
B_PA2_to_C2,56,-44.044002228624336,153.97849283735448,-94.95298846,-56.68,195.24,-51.8,0.32846883989461484,0.32846883989461484,-0.4661435500532227,-0.4661435500532227
B_PA2_to_C2,57,-43.00864806727299,154.26395685889787,-94.95721993,-55.38,195.61,-51.8,0.32843668906888834,0.32843668906888834,-0.46699377436080813,-0.46699377436080813
B_PA2_to_C2,58,-41.97219328655152,154.54158801189269,-94.97106637,-54.08,195.98,-51.8,0.3283313934142004,0.3283313934142004,-0.46977888669563755,-0.46977888669563755
B_PA2_to_C2,59,-40.93345458063729,154.81385604495586,-94.97052254,-52.77,196.33,-51.8,0.3283355197916108,0.3283355197916108,-0.4696697255423313,-0.4696697255423313
B_PA2_to_C2,60,-39.90079758340698,155.07615987177672,-94.98247281,-51.47,196.68,-51.8,0.3282447056972659,0.3282447056972659,-0.47207248205393154,-0.47207248205393154
