config,condition,scan_id,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,beam_sum,beam_mean,beam_max,beam_db,beam_percent,geometry_echo_percent,edm_echo_percent,edm_minus_geometry_db
1D16,A_PA1_to_C1,44,-82.89853717976428,182.64232658248503,-80.95063473369008,-74.2,156.17,-51.8,6.376715844060359,0.39854474025377246,0.8487442665500694,-6.544806273190985,47.07167866455436,41.94438215608557,57.69649634982048,2.769512792114236
1D16,A_PA1_to_C1,45,-81.77570602721802,183.53529052099293,-81.26706971245501,-72.93,156.77,-51.8,6.486065605020089,0.40537910031375557,0.8488548786661638,-6.397120822498805,47.878877375586264,41.976197919838405,58.24171627989275,2.844621309306037
1D16,A_PA1_to_C1,46,-80.64582348921154,184.42047698396848,-81.58024546867004,-71.65,157.35,-51.8,6.600644993256836,0.41254031207855224,0.8489626743433406,-6.245020056607919,48.724680180126335,42.00168905914754,58.81571831987402,2.9245329990394446
1D16,A_PA1_to_C1,47,-79.50878396989144,185.297642211527,-81.89006653611777,-70.37,157.93,-51.8,6.718053172372875,0.4198783232733047,0.849065662280764,-6.091878827516995,49.591364569879794,42.020829906596475,59.41476669888968,3.008595414378771
1D16,A_PA1_to_C1,48,-78.36470409990349,186.16679159789868,-82.19653532246785,-69.08,158.5,-51.8,6.840194854444942,0.42751217840280886,0.8491650106726277,-5.935378095313206,50.492990759699715,42.03360118897434,60.04391543570316,3.0974481053456815
1D16,A_PA1_to_C1,49,-77.21351525637408,187.0277172845943,-82.49957047786444,-67.79,159.06,-51.8,6.965148307301087,0.43532176920631793,0.8492584574558059,-5.778140201583085,51.41537289569369,42.03999004668235,60.700328386415435,3.1905687212896883
1D16,A_PA1_to_C1,50,-76.05515221567958,187.88020837156645,-82.79908752134475,-66.49,159.6,-51.8,7.095212134164364,0.44345075838527276,0.8493475188269637,-5.617439873070833,52.375478820704146,42.03999004668235,61.38975511215219,3.2886659284114645
1D16,A_PA1_to_C1,51,-74.88955223574898,188.72404937384064,-83.0949989297513,-65.19,160.14,-51.8,7.229922608758219,0.4518701630473887,0.849432626971915,-5.4540745953599155,53.36988539736507,42.03360118897434,62.112204715505136,3.3916069146639587
1D16,A_PA1_to_C1,52,-73.71665496632944,189.559018973578,-83.38721635930006,-63.89,160.66,-51.8,7.366472716645541,0.4604045447903463,0.8495102319244805,-5.291555871702689,54.37787178993254,42.020829906596475,62.86278806379815,3.4985802666571275
1D16,A_PA1_to_C1,53,-72.53640296667295,190.384890624968,-83.67564995326215,-62.58,161.18,-51.8,7.511801180728188,0.46948757379551176,0.8495862785283106,-5.1218658717622825,55.45065830408835,42.00168905914754,63.65647594047069,3.6115167330934845
